Timestamp,TPS,ResponseTime_ms,CPU_%,Memory_%,JVM_Heap_%
2024-01-01 00:00:00,141.47,319.49,29.89,63.67,61.96
2024-01-01 01:00:00,156.18,333.86,33.95,61.73,53.85
2024-01-01 02:00:00,138.37,275.5,32.43,65.22,51.04
2024-01-01 03:00:00,131.1,329.06,19.16,67.02,56.32
2024-01-01 04:00:00,133.76,432.2,28.72,63.04,53.6
2024-01-01 05:00:00,132.47,337.82,25.04,60.84,62.94
2024-01-01 06:00:00,130.33,340.55,26.04,61.92,56.69
2024-01-01 07:00:00,220.24,332.85,34.25,60.42,56.17
2024-01-01 08:00:00,239.58,326.7,52.33,61.76,51.96
2024-01-01 09:00:00,195.59,320.98,44.4,64.94,52.02
2024-01-01 10:00:00,187.38,355.0,41.91,66.43,65.3
2024-01-01 11:00:00,293.06,277.14,57.07,66.86,69.78
2024-01-01 12:00:00,318.95,288.35,61.74,69.92,63.79
2024-01-01 13:00:00,153.07,346.82,35.63,64.15,55.22
2024-01-01 14:00:00,158.5,392.03,33.39,73.29,60.71
2024-01-01 15:00:00,143.8,354.68,27.27,63.15,46.04
2024-01-01 16:00:00,164.97,328.98,25.52,60.93,57.57
2024-01-01 17:00:00,128.34,332.96,23.16,65.31,58.53
2024-01-01 18:00:00,160.39,387.69,32.96,62.28,59.78
2024-01-01 19:00:00,129.8,344.97,18.64,63.48,55.82
2024-01-01 20:00:00,125.26,278.59,26.78,61.32,52.96
2024-01-01 21:00:00,139.84,348.55,29.99,68.46,61.63
2024-01-01 22:00:00,140.99,352.45,19.83,59.6,46.68
2024-01-01 23:00:00,126.58,359.61,37.63,61.95,58.6
2024-01-02 00:00:00,131.34,366.41,26.23,64.93,51.44
2024-01-02 01:00:00,158.54,370.89,27.16,67.38,52.33
2024-01-02 02:00:00,152.89,322.62,30.96,61.58,60.07
2024-01-02 03:00:00,133.18,358.6,24.12,58.01,51.58
2024-01-02 04:00:00,153.4,364.96,26.11,64.93,56.36
2024-01-02 05:00:00,131.01,332.83,24.59,65.06,50.81
2024-01-02 06:00:00,160.99,387.25,44.89,62.25,57.75
2024-01-02 07:00:00,235.02,329.45,50.91,60.99,52.37
2024-01-02 08:00:00,224.24,343.78,50.93,65.16,66.55
2024-01-02 09:00:00,179.08,349.1,32.24,69.18,64.16
2024-01-02 10:00:00,219.57,348.84,39.14,62.14,51.89
2024-01-02 11:00:00,360.85,308.62,74.23,69.68,80.08
2024-01-02 12:00:00,295.04,260.56,55.15,68.54,64.66
2024-01-02 13:00:00,152.78,349.46,37.82,62.26,70.98
2024-01-02 14:00:00,133.56,326.59,31.6,62.8,55.87
2024-01-02 15:00:00,132.76,349.04,30.12,64.07,56.92
2024-01-02 16:00:00,167.45,330.61,37.37,66.49,58.95
2024-01-02 17:00:00,138.93,360.11,21.56,63.3,56.88
2024-01-02 18:00:00,150.09,356.9,25.97,66.17,58.39
2024-01-02 19:00:00,157.62,379.95,36.79,59.02,49.88
2024-01-02 20:00:00,160.64,355.59,33.41,63.28,61.67
2024-01-02 21:00:00,147.07,368.1,35.09,65.8,62.92
2024-01-02 22:00:00,164.2,310.69,25.34,63.78,51.81
